Category,scheme_name,scheme_url,scheme_pr_url
Sectoral/Thematic,SBI PSU Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sbi-psu-fund-direct-plan-growth/MSB495,https://www.moneycontrol.com/mutual-funds/sbi-psu-fund-direct-plan-growth/MSB495/portfolio-overview/MSB495
Sectoral/Thematic,Invesco India PSU Equity Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-psu-equity-fund-direct-plan-growth/MLI552,https://www.moneycontrol.com/mutual-funds/invesco-india-psu-equity-fund-direct-plan-growth/MLI552/portfolio-overview/MLI552
Small Cap Fund,Bandhan Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/bandhan-small-cap-fund-direct-plan-growth/MAG2104,https://www.moneycontrol.com/mutual-funds/bandhan-small-cap-fund-direct-plan-growth/MAG2104/portfolio-overview/MAG2104
Sectoral/Thematic,Franklin India Opportunities Fund - Direct - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-opportunities-fund-direct-growth/MTE319,https://www.moneycontrol.com/mutual-funds/franklin-india-opportunities-fund-direct-growth/MTE319/portfolio-overview/MTE319
Sectoral/Thematic,Invesco India PSU Equity Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-psu-equity-fund-growth/MLI345,https://www.moneycontrol.com/mutual-funds/invesco-india-psu-equity-fund-growth/MLI345/portfolio-overview/MLI345
Sectoral/Thematic,Nippon India Power & Infra Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-power-infra-fund-direct-plan-growth/MRC904,https://www.moneycontrol.com/mutual-funds/nippon-india-power-infra-fund-direct-plan-growth/MRC904/portfolio-overview/MRC904
Sectoral/Thematic,Aditya Birla Sun Life PSU Equity Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/aditya-birla-sun-life-psu-equity-fund-direct-plan-growth/MBS3064,https://www.moneycontrol.com/mutual-funds/aditya-birla-sun-life-psu-equity-fund-direct-plan-growth/MBS3064/portfolio-overview/MBS3064
Sectoral/Thematic,HDFC Infrastructure Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/hdfc-infrastructure-fund-direct-plan-growth/MHD1155,https://www.moneycontrol.com/mutual-funds/hdfc-infrastructure-fund-direct-plan-growth/MHD1155/portfolio-overview/MHD1155
Sectoral/Thematic,ICICI Prudential Infrastructure Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-infrastructure-fund-direct-plan-growth/MPI1148,https://www.moneycontrol.com/mutual-funds/icici-prudential-infrastructure-fund-direct-plan-growth/MPI1148/portfolio-overview/MPI1148
Sectoral/Thematic,Nippon India Power & Infra Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/nippon-india-power-infra-fund-growth/MRC055,https://www.moneycontrol.com/mutual-funds/nippon-india-power-infra-fund-growth/MRC055/portfolio-overview/MRC055
Sectoral/Thematic,Franklin Build India Fund - Direct - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-build-india-fund-direct-growth/MTE331,https://www.moneycontrol.com/mutual-funds/franklin-build-india-fund-direct-growth/MTE331/portfolio-overview/MTE331
Sectoral/Thematic,Franklin India Opportunities Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-india-opportunities-fund-growth/MKP028,https://www.moneycontrol.com/mutual-funds/franklin-india-opportunities-fund-growth/MKP028/portfolio-overview/MKP028
Sectoral/Thematic,Bandhan Infrastructure Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/bandhan-infrastructure-fund-direct-plan-growth/MAG731,https://www.moneycontrol.com/mutual-funds/bandhan-infrastructure-fund-direct-plan-growth/MAG731/portfolio-overview/MAG731
Small Cap Fund,ITI Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/iti-small-cap-fund-direct-plan-growth/MIT043,https://www.moneycontrol.com/mutual-funds/iti-small-cap-fund-direct-plan-growth/MIT043/portfolio-overview/MIT043
Sectoral/Thematic,ICICI Prudential Infrastructure Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-infrastructure-fund-growth/MPI108,https://www.moneycontrol.com/mutual-funds/icici-prudential-infrastructure-fund-growth/MPI108/portfolio-overview/MPI108
Mid Cap Fund,Motilal Oswal Midcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/motilal-oswal-midcap-fund-direct-plan-growth/MMO027,https://www.moneycontrol.com/mutual-funds/motilal-oswal-midcap-fund-direct-plan-growth/MMO027/portfolio-overview/MMO027
Sectoral/Thematic,HDFC Infrastructure Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/hdfc-infrastructure-fund-growth/MHD283,https://www.moneycontrol.com/mutual-funds/hdfc-infrastructure-fund-growth/MHD283/portfolio-overview/MHD283
Large & Mid Cap Fund,Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/motilal-oswal-large-and-midcap-fund-direct-plan-growth/MMO070,https://www.moneycontrol.com/mutual-funds/motilal-oswal-large-and-midcap-fund-direct-plan-growth/MMO070/portfolio-overview/MMO070
Mid Cap Fund,Invesco India Mid Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-mid-cap-fund-direct-plan-growth/MLI556,https://www.moneycontrol.com/mutual-funds/invesco-india-mid-cap-fund-direct-plan-growth/MLI556/portfolio-overview/MLI556
Sectoral/Thematic,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-pharma-healthcare-and-diagnostics-(p-h-d)-fund-direct-plan-growth/MPI3737,https://www.moneycontrol.com/mutual-funds/icici-prudential-pharma-healthcare-and-diagnostics-(p-h-d)-fund-direct-plan-growth/MPI3737/portfolio-overview/MPI3737
Sectoral/Thematic,Franklin Build India Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-build-india-fund-growth/MTE266,https://www.moneycontrol.com/mutual-funds/franklin-build-india-fund-growth/MTE266/portfolio-overview/MTE266
Sectoral/Thematic,SBI Healthcare Opportunities Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/sbi-healthcare-opportunities-fund-direct-plan-growth/MSB497,https://www.moneycontrol.com/mutual-funds/sbi-healthcare-opportunities-fund-direct-plan-growth/MSB497/portfolio-overview/MSB497
Sectoral/Thematic,DSP India T.I.G.E.R. Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/dsp-india-t-i-g-e-rfund-direct-plan-growth/MDS586,https://www.moneycontrol.com/mutual-funds/dsp-india-t-i-g-e-rfund-direct-plan-growth/MDS586/portfolio-overview/MDS586
Mid Cap Fund,Motilal Oswal Midcap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/motilal-oswal-midcap-fund-growth/MMO025,https://www.moneycontrol.com/mutual-funds/motilal-oswal-midcap-fund-growth/MMO025/portfolio-overview/MMO025
Sectoral/Thematic,ICICI Prudential Pharma Healthcare and Diagnostics (P.H.D) Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/icici-prudential-pharma-healthcare-and-diagnostics-(p-h-d)-fund-growth/MPI3739,https://www.moneycontrol.com/mutual-funds/icici-prudential-pharma-healthcare-and-diagnostics-(p-h-d)-fund-growth/MPI3739/portfolio-overview/MPI3739
Sectoral/Thematic,Invesco India Infrastructure Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-infrastructure-fund-direct-plan-growth/MLI558,https://www.moneycontrol.com/mutual-funds/invesco-india-infrastructure-fund-direct-plan-growth/MLI558/portfolio-overview/MLI558
Mid Cap Fund,Invesco India Mid Cap Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-mid-cap-fund-growth/MLI021,https://www.moneycontrol.com/mutual-funds/invesco-india-mid-cap-fund-growth/MLI021/portfolio-overview/MLI021
Small Cap Fund,Quant Small Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/quant-small-cap-fund-direct-plan-growth/MES056,https://www.moneycontrol.com/mutual-funds/quant-small-cap-fund-direct-plan-growth/MES056/portfolio-overview/MES056
Small Cap Fund,Invesco India Smallcap Fund - Direct - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-smallcap-fund-direct-growth/MLI1094,https://www.moneycontrol.com/mutual-funds/invesco-india-smallcap-fund-direct-growth/MLI1094/portfolio-overview/MLI1094
Mid Cap Fund,HDFC Mid Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/hdfc-mid-cap-fund-direct-plan-growth/MHD1161,https://www.moneycontrol.com/mutual-funds/hdfc-mid-cap-fund-direct-plan-growth/MHD1161/portfolio-overview/MHD1161
Sectoral/Thematic,Franklin Build India Fund - Growth,https://www.moneycontrol.com/mutual-funds/nav/franklin-build-india-fund-growth/MTE266,https://www.moneycontrol.com/mutual-funds/franklin-build-india-fund-growth/MTE266/portfolio-overview/MTE266
Sectoral/Thematic,Canara Robeco Infrastructure - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/canara-robeco-infrastructure-direct-plan-growth/MCA214,https://www.moneycontrol.com/mutual-funds/canara-robeco-infrastructure-direct-plan-growth/MCA214/portfolio-overview/MCA214
ELSS,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/motilal-oswal-elss-tax-saver-fund-direct-plan-growth/MMO035,https://www.moneycontrol.com/mutual-funds/motilal-oswal-elss-tax-saver-fund-direct-plan-growth/MMO035/portfolio-overview/MMO035
Sectoral/Thematic,Bank of India Manufacturing & Infrastructure Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/bank-of-india-manufacturing-infrastructure-fund-direct-plan-growth/MBA068,https://www.moneycontrol.com/mutual-funds/bank-of-india-manufacturing-infrastructure-fund-direct-plan-growth/MBA068/portfolio-overview/MBA068
Sectoral/Thematic,UTI Healthcare Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/uti-healthcare-fund-direct-plan-growth/MUT621,https://www.moneycontrol.com/mutual-funds/uti-healthcare-fund-direct-plan-growth/MUT621/portfolio-overview/MUT621
Large & Mid Cap Fund,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,https://www.moneycontrol.com/mutual-funds/nav/invesco-india-large-mid-cap-fund-direct-plan-growth/MLI560,https://www.moneycontrol.com/mutual-funds/invesco-india-large-mid-cap-fund-direct-plan-growth/MLI560/portfolio-overview/MLI560
